perturbation,level,mean_relative_graph_change,std_relative_graph_change,mean_absolute_entropy_change,std_absolute_entropy_change,mean_relative_entropy_change,std_relative_entropy_change,experiment,complexity,structural_entropy_mean,structural_entropy_std,mean_edge_weight_mean,mean_edge_weight_std,total_edge_weight_mean,total_edge_weight_std,n_edges_mean,n_edges_std,n_nodes_mean,n_nodes_std,case,structural_entropy,mean_edge_weight,cluster_imbalance,incorrect_fraction,n_edges,n_nodes,confident_failure,index,threshold,n_clusters_mean,n_clusters_std
edge_dropout,0.0,0.0,0.0,0.0,0.0,0.0,0.0,semantic_perturbation,,,,,,,,,,,,,,,,,,,,,,,
edge_dropout,0.05,0.0,0.0,-6.024290044592817e-08,0.0,-4.2236363483363774e-08,0.0,semantic_perturbation,,,,,,,,,,,,,,,,,,,,,,,
edge_dropout,0.1,0.11811324736695213,0.20457814548651201,0.011961784442160802,0.020718522746773816,0.008386420173481145,0.01452577898961742,semantic_perturbation,,,,,,,,,,,,,,,,,,,,,,,
edge_dropout,0.2,0.16648936951626656,0.28801632607618083,0.06861670704130328,0.11877474059692149,0.0481072484587494,0.08327310071991884,semantic_perturbation,,,,,,,,,,,,,,,,,,,,,,,
edge_weight_noise,0.0,0.0,0.0,0.0,0.0,0.0,0.0,semantic_perturbation,,,,,,,,,,,,,,,,,,,,,,,
edge_weight_noise,0.05,0.06851749600502714,0.005427831811409405,-0.15967922762706524,0.03366079130504479,-0.11195128137717934,0.023599617650773605,semantic_perturbation,,,,,,,,,,,,,,,,,,,,,,,
edge_weight_noise,0.1,0.133828875094333,0.011839358990716297,-0.25191374369028974,0.04850885856282244,-0.17661700160848026,0.03400961386746996,semantic_perturbation,,,,,,,,,,,,,,,,,,,,,,,
edge_weight_noise,0.2,0.26377543827909683,0.024547768215824804,-0.37955728858207055,0.06777995616816247,-0.26610803073303674,0.04752060150514332,semantic_perturbation,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,complexity,contradictory_fabricated,-1.8096773624420168,,0.5173079371452332,,5.69038724899292,,11.0,,6.0,,,,,,,,,,,,,
,,,,,,,,complexity,explanatory,-1.386727809906006,,0.4835126399993896,,2.901075839996338,,6.0,,6.0,,,,,,,,,,,,,
,,,,,,,,complexity,multi_claim,-1.5886086225509644,,0.3844568729400635,,3.075655221939087,,8.0,,6.0,,,,,,,,,,,,,
,,,,,,,,complexity,reasoning_heavy,-1.650362491607666,,0.50609290599823,,4.04874324798584,,8.0,,6.0,,,,,,,,,,,,,
,,,,,,,,complexity,simple_factual,-1.4405499696731567,,0.6649375557899475,,3.989625215530396,,6.0,,6.0,,,,,,,,,,,,,
,,,,,,,,failure_mechanism,,,,,,,,,,,,capital_france,-1.6986273527145386,0.8731769323348999,2.0,0.3333333333333333,8.0,6.0,True,,,,
,,,,,,,,failure_mechanism,,,,,,,,,,,,penicillin,-1.4263278245925903,0.5078481435775757,4.0,0.3333333333333333,8.0,6.0,False,,,,
,,,,,,,,failure_mechanism,,,,,,,,,,,,planet,-1.4610108137130735,0.6270805597305298,2.0,0.3333333333333333,8.0,6.0,True,,,,
,,,,,,,,score_stability,,,,,,,,,,,,,-0.9749418652284714,,,,,,,mean,,,
,,,,,,,,score_stability,,,,,,,,,,,,,0.8492345154538476,,,,,,,std,,,
,,,,,,,,threshold_sensitivity,,-1.426129937171936,,0.5078272223472595,,4.062617778778076,,8.0,,,,,,,,,,,,,0.2,2.0,
,,,,,,,,threshold_sensitivity,,-1.426129937171936,,0.5078272223472595,,4.062617778778076,,8.0,,,,,,,,,,,,,0.25,2.0,
,,,,,,,,threshold_sensitivity,,-1.4263278245925903,,0.5078481435775757,,4.0627851486206055,,8.0,,,,,,,,,,,,,0.3,3.0,
,,,,,,,,threshold_sensitivity,,-1.4263278245925903,,0.5078481435775757,,4.0627851486206055,,8.0,,,,,,,,,,,,,0.35,3.0,
,,,,,,,,threshold_sensitivity,,-1.4263278245925903,,0.5078481435775757,,4.0627851486206055,,8.0,,,,,,,,,,,,,0.4,3.0,
