metric,value
total_cases,7.0
successful_cases,7.0
failed_cases,0.0
mean_structural_entropy,-1.7607842417684425
std_structural_entropy,0.03735219214944886
min_structural_entropy,-1.7917594137276254
max_structural_entropy,-1.7106079542284034
mean_n_clusters,1.0
std_n_clusters,0.0
min_n_clusters,1.0
max_n_clusters,1.0
mean_n_edges,14.0
std_n_edges,2.6457513110645907
min_n_edges,8.0
max_n_edges,15.0
mean_edge_density,0.9333333333333333
std_edge_density,0.17638342073763938
min_edge_density,0.5333333333333333
max_edge_density,1.0
mean_mean_edge_weight,0.8089243595765547
std_mean_edge_weight,0.18419466349937955
min_mean_edge_weight,0.47262335000559685
max_mean_edge_weight,0.9979294816652934
mean_total_edge_weight,11.36816928344446
std_total_edge_weight,3.5911349153138508
min_total_edge_weight,6.1255688816308975
max_total_edge_weight,14.9689422249794
