repeat,structural_entropy,n_nodes,n_clusters,n_edges,total_edge_weight
1,-1.4263278245925903,6,3,8,4.0627851486206055
2,-1.4263278245925903,6,3,8,4.0627851486206055
3,-1.4263278245925903,6,3,8,4.0627851486206055
4,-1.4263278245925903,6,3,8,4.0627851486206055
5,-1.4263278245925903,6,3,8,4.0627851486206055
6,-1.4263278245925903,6,3,8,4.0627851486206055
7,-1.4263278245925903,6,3,8,4.0627851486206055
8,-1.4263278245925903,6,3,8,4.0627851486206055
9,-1.4263278245925903,6,3,8,4.0627851486206055
10,-1.4263278245925903,6,3,8,4.0627851486206055
