perturbation,level,seed,relative_graph_change,baseline_entropy,perturbed_entropy,absolute_entropy_change,relative_entropy_change,n_nodes,n_edges,edge_density,mean_edge_weight,total_edge_weight
edge_weight_noise,0.0,42,0.0,-1.4263278245925903,-1.4263278245925903,0.0,0.0,6,8,0.5333333333333333,0.5078481263990398,4.062785011192318
edge_weight_noise,0.0,123,0.0,-1.4263278245925903,-1.4263278245925903,0.0,0.0,6,8,0.5333333333333333,0.5078481263990398,4.062785011192318
edge_weight_noise,0.0,2026,0.0,-1.4263278245925903,-1.4263278245925903,0.0,0.0,6,8,0.5333333333333333,0.5078481263990398,4.062785011192318
edge_weight_noise,0.05,42,0.06283993508668685,-1.4263278245925903,-1.5667906091066994,-0.1404627845141091,-0.09847861206397641,6,11,0.7333333333333333,0.37478575774901707,4.122643335239188
edge_weight_noise,0.05,123,0.06905729088641557,-1.4263278245925903,-1.5663561708020732,-0.1400283462094829,-0.09817402689278669,6,12,0.8,0.36152688880259504,4.33832266563114
edge_weight_noise,0.05,2026,0.07365526204197913,-1.4263278245925903,-1.624874376750194,-0.19854655215760375,-0.13920120517477508,6,10,0.6666666666666666,0.4066311311952986,4.066311311952985
edge_weight_noise,0.1,42,0.12442440744089733,-1.4263278245925903,-1.6497098579094214,-0.22338203331683104,-0.15661338821644094,6,9,0.6,0.4644091727323111,4.1796825545908
edge_weight_noise,0.1,123,0.12993823906123889,-1.4263278245925903,-1.650763376152157,-0.22443555155956663,-0.15735201101028326,6,12,0.8,0.38342571869471315,4.6011086243365575
edge_weight_noise,0.1,2026,0.1471239787808629,-1.4263278245925903,-1.734251470787062,-0.30792364619447166,-0.21588560559871678,6,10,0.6666666666666666,0.4059313910171821,4.05931391017182
edge_weight_noise,0.2,42,0.24434672091811743,-1.4263278245925903,-1.7710092425869566,-0.34468141799436625,-0.24165651966638135,6,9,0.6,0.4842566727572234,4.358310054815011
edge_weight_noise,0.2,123,0.25561560800852534,-1.4263278245925903,-1.7626445704370042,-0.33631674584441384,-0.23579203886068603,6,12,0.8,0.42714431824644034,5.125731818957283
edge_weight_noise,0.2,2026,0.2913639859106478,-1.4263278245925903,-1.8840015265000218,-0.4576737019074315,-0.32087553367204297,6,9,0.6,0.45479863244346674,4.0931876919912
edge_dropout,0.0,42,0.0,-1.4263278245925903,-1.4263278245925903,0.0,0.0,6,8,0.5333333333333333,0.5078481263990398,4.062785011192318
edge_dropout,0.0,123,0.0,-1.4263278245925903,-1.4263278245925903,0.0,0.0,6,8,0.5333333333333333,0.5078481263990398,4.062785011192318
edge_dropout,0.0,2026,0.0,-1.4263278245925903,-1.4263278245925903,0.0,0.0,6,8,0.5333333333333333,0.5078481263990398,4.062785011192318
edge_dropout,0.05,42,0.0,-1.4263278245925903,-1.4263278848354908,-6.024290044592817e-08,-4.2236363483363774e-08,6,8,0.5333333333333333,0.5078481263990398,4.062785011192318
edge_dropout,0.05,123,0.0,-1.4263278245925903,-1.4263278848354908,-6.024290044592817e-08,-4.2236363483363774e-08,6,8,0.5333333333333333,0.5078481263990398,4.062785011192318
edge_dropout,0.05,2026,0.0,-1.4263278245925903,-1.4263278848354908,-6.024290044592817e-08,-4.2236363483363774e-08,6,8,0.5333333333333333,0.5078481263990398,4.062785011192318
edge_dropout,0.1,42,0.0,-1.4263278245925903,-1.4263278848354908,-6.024290044592817e-08,-4.2236363483363774e-08,6,8,0.5333333333333333,0.5078481263990398,4.062785011192318
edge_dropout,0.1,123,0.35433974210085645,-1.4263278245925903,-1.390442350780307,0.03588547381228335,0.025159344993170497,6,7,0.4666666666666667,0.4378250044953477,3.064775031467434
edge_dropout,0.1,2026,0.0,-1.4263278245925903,-1.4263278848354908,-6.024290044592817e-08,-4.2236363483363774e-08,6,8,0.5333333333333333,0.5078481263990398,4.062785011192318
edge_dropout,0.2,42,0.000406214944376479,-1.4263278245925903,-1.426243598547057,8.422604553337543e-05,5.905097277158802e-05,6,7,0.4666666666666667,0.5802344132763599,4.06164089293452
edge_dropout,0.2,123,0.4990618936044232,-1.4263278245925903,-1.2205618692713134,0.20576595532127695,0.14426273663984013,6,6,0.4,0.34582468563651975,2.0749481138191186
edge_dropout,0.2,2026,0.0,-1.4263278245925903,-1.4263278848354908,-6.024290044592817e-08,-4.2236363483363774e-08,6,8,0.5333333333333333,0.5078481263990398,4.062785011192318
